Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
58;74910;"Proceedings - Symposium on Computer Arithmetic";conference and proceedings;"25762265, 10636889";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,443;-;36;23;66;408;106;60;0,73;17,74;16,90;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1972, 1975, 1983, 1985, 1987, 1989, 1991, 1993, 1995, 1997, 1999, 2001, 2003, 2005, 2007, 2009, 2011, 2013, 2015, 2018-2024";"Hardware and Architecture; Software; Theoretical Computer Science";"Computer Science; Mathematics"
59;21100218359;"Annual IEEE Communications Society Conference on Sensor, Mesh and Ad Hoc Communications and Networks workshops";conference and proceedings;"21555486, 21555494";"IEEE Computer Society";No;No;0,431;-;25;0;189;0;326;181;1,74;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2012, 2019-2023";"Computer Networks and Communications; Electrical and Electronic Engineering; Hardware and Architecture";"Computer Science; Engineering"
60;14939;"Proceedings of the IEEE VLSI Test Symposium";conference and proceedings;"23751053";"IEEE Computer Society";No;No;0,430;-;60;55;128;1117;187;122;1,30;20,31;17,05;0;10;United States;Northern America;"IEEE Computer Society";"1991-1992, 1994-2024";"Computer Science Applications; Electrical and Electronic Engineering";"Computer Science; Engineering"
61;26669;"Proceedings - IEEE International Conference on Computer Design: VLSI in Computers and Processors";conference and proceedings;"10636404";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,427;-;53;103;290;2261;433;281;1,36;21,95;25,94;0;15;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1988-1991, 1993-2005, 2009-2012, 2020-2024";"Electrical and Electronic Engineering; Hardware and Architecture";"Computer Science; Engineering"
62;21101039623;"Proceedings of the International Conference on Knowledge Representation and Reasoning";conference and proceedings;"23341025, 23341033";"Association for the Advancement of Artificial Intelligence";No;No;0,422;-;45;93;82;3339;153;80;1,87;35,90;14,01;0;1;United States;Northern America;"Association for the Advancement of Artificial Intelligence";"2006, 2008, 2010, 2012, 2014, 2016, 2023-2024";"Logic; Software";"Computer Science; Mathematics"
63;23922;"IEEE Vehicular Technology Conference";conference and proceedings;"07400551";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,407;-;131;1228;2909;20469;4003;2882;1,30;16,67;26,15;0;230;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1967-1968, 1970-1971, 1975, 1981-2024";"Applied Mathematics; Computer Science Applications; Electrical and Electronic Engineering";"Computer Science; Engineering; Mathematics"
64;21101167500;"Proceedings - International Conference on Computational Linguistics, COLING";conference and proceedings;"29512093";"Association for Computational Linguistics (ACL)";No;No;0,397;-;23;0;743;0;2753;728;3,71;0,00;0,00;0;0;United States;Northern America;"Association for Computational Linguistics (ACL)";"2022, 2025";"Computational Theory and Mathematics; Computer Science Applications; Theoretical Computer Science";"Computer Science; Mathematics"
65;21100310020;"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS";conference and proceedings;"15488403, 15582914";"International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS)";No;No;0,386;-;66;458;1140;13897;1662;1130;1,36;30,34;22,28;0;34;United States;Northern America;"International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS)";"2008-2010, 2015-2024";"Artificial Intelligence; Control and Systems Engineering; Software";"Computer Science; Engineering"
66;21101100718;"Proceedings - IEEE Consumer Communications and Networking Conference, CCNC";conference and proceedings;"23319860";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,382;-;14;272;505;4181;840;502;1,66;15,37;17,53;0;53;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2022-2024";"Artificial Intelligence; Computer Networks and Communications; Computer Vision and Pattern Recognition; Electrical and Electronic Engineering";"Computer Science; Engineering"
67;21100291859;"IEEE International Conference on Cloud Computing, CLOUD";conference and proceedings;"21596182, 21596190";"IEEE Computer Society";No;No;0,378;-;41;59;239;2090;430;221;1,67;35,42;24,87;0;3;United States;Northern America;"IEEE Computer Society";"2013-2014, 2016-2024";"Artificial Intelligence; Information Systems; Software";"Computer Science"
68;145205;"Proceedings - International Conference on Computer Communications and Networks, ICCCN";conference and proceedings;"10952055";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,378;-;54;119;311;2772;475;297;1,16;23,29;22,43;0;19;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000-2011, 2013-2015, 2018-2024";"Computer Networks and Communications; Computer Science (miscellaneous); Hardware and Architecture; Software";"Computer Science"
